memory_len,mean_reward,max_reward,min_reward,mean_length,max_length,min_length,wins,draws,ilegal
5,-10.0,-10,-10,2.2,3,2,0,0,5
10,-10.0,-10,-10,2.1,3,2,0,0,10
15,-10.0,-10,-10,2.066666666666667,3,2,0,0,15
20,-10.0,-10,-10,2.05,3,2,0,0,20
24,-10.0,-10,-10,2.0833333333333335,3,2,0,0,24
29,-10.0,-10,-10,2.0689655172413794,3,2,0,0,29
34,-10.0,-10,-10,2.088235294117647,3,2,0,0,34
38,-10.0,-10,-10,2.1052631578947367,3,2,0,0,38
43,-10.0,-10,-10,2.116279069767442,3,2,0,0,43
47,-10.0,-10,-10,2.127659574468085,3,2,0,0,47
52,-10.0,-10,-10,2.1153846153846154,3,2,0,0,52
57,-10.0,-10,-10,2.1228070175438596,3,2,0,0,57
60,-10.0,-10,-10,2.15,4,2,0,0,60
65,-10.0,-10,-10,2.169230769230769,4,2,0,0,65
70,-10.0,-10,-10,2.157142857142857,4,2,0,0,70
75,-10.0,-10,-10,2.1466666666666665,4,2,0,0,75
79,-10.0,-10,-10,2.151898734177215,4,2,0,0,79
84,-10.0,-10,-10,2.1547619047619047,4,2,0,0,84
89,-10.0,-10,-10,2.146067415730337,4,2,0,0,89
94,-10.0,-10,-10,2.1382978723404253,4,2,0,0,94
98,-10.0,-10,-10,2.1530612244897958,4,2,0,0,98
103,-10.0,-10,-10,2.145631067961165,4,2,0,0,103
108,-10.0,-10,-10,2.138888888888889,4,2,0,0,108
113,-10.0,-10,-10,2.1327433628318584,4,2,0,0,113
118,-10.0,-10,-10,2.1271186440677967,4,2,0,0,118
123,-10.0,-10,-10,2.1219512195121952,4,2,0,0,123
128,-10.0,-10,-10,2.1171875,4,2,0,0,128
133,-10.0,-10,-10,2.112781954887218,4,2,0,0,133
137,-10.0,-10,-10,2.124087591240876,4,2,0,0,137
141,-10.0,-10,-10,2.127659574468085,4,2,0,0,141
146,-10.0,-10,-10,2.1301369863013697,4,2,0,0,146
150,-10.0,-10,-10,2.1333333333333333,4,2,0,0,150
155,-10.0,-10,-10,2.1354838709677417,4,2,0,0,155
159,-10.0,-10,-10,2.138364779874214,4,2,0,0,159
