memory_len,mean_reward,max_reward,min_reward,mean_length,max_length,min_length,wins,draws,ilegal
1,-10.0,-10,-10,1.0,1,1,0,0,1
2,-10.0,-10,-10,1.5,2,1,0,0,2
2,-10.0,-10,-10,1.5,2,1,0,0,2
3,-10.0,-10,-10,1.6666666666666667,2,1,0,0,3
3,-10.0,-10,-10,1.6666666666666667,2,1,0,0,3
4,-10.0,-10,-10,1.75,2,1,0,0,4
4,-10.0,-10,-10,1.75,2,1,0,0,4
5,-10.0,-10,-10,1.8,2,1,0,0,5
5,-10.0,-10,-10,1.8,2,1,0,0,5
6,-10.0,-10,-10,1.8333333333333333,2,1,0,0,6
7,-10.0,-10,-10,1.8571428571428572,2,1,0,0,7
7,-10.0,-10,-10,1.8571428571428572,2,1,0,0,7
7,-10.0,-10,-10,1.8571428571428572,2,1,0,0,7
8,-10.0,-10,-10,2.0,3,1,0,0,8
8,-10.0,-10,-10,2.0,3,1,0,0,8
8,-10.0,-10,-10,2.0,3,1,0,0,8
9,-10.0,-10,-10,2.111111111111111,3,1,0,0,9
9,-10.0,-10,-10,2.111111111111111,3,1,0,0,9
10,-10.0,-10,-10,2.1,3,1,0,0,10
11,-10.0,-10,-10,2.090909090909091,3,1,0,0,11
11,-10.0,-10,-10,2.090909090909091,3,1,0,0,11
12,-10.0,-10,-10,2.0833333333333335,3,1,0,0,12
12,-10.0,-10,-10,2.0833333333333335,3,1,0,0,12
13,-10.0,-10,-10,2.076923076923077,3,1,0,0,13
13,-10.0,-10,-10,2.076923076923077,3,1,0,0,13
14,-10.0,-10,-10,2.0714285714285716,3,1,0,0,14
14,-10.0,-10,-10,2.0714285714285716,3,1,0,0,14
15,-10.0,-10,-10,2.066666666666667,3,1,0,0,15
16,-10.0,-10,-10,2.0625,3,1,0,0,16
16,-10.0,-10,-10,2.0625,3,1,0,0,16
17,-10.0,-10,-10,2.0588235294117645,3,1,0,0,17
17,-10.0,-10,-10,2.0588235294117645,3,1,0,0,17
18,-10.0,-10,-10,2.0555555555555554,3,1,0,0,18
18,-10.0,-10,-10,2.0555555555555554,3,1,0,0,18
19,-10.0,-10,-10,2.0526315789473686,3,1,0,0,19
19,-10.0,-10,-10,2.0526315789473686,3,1,0,0,19
20,-10.0,-10,-10,2.05,3,1,0,0,20
21,-10.0,-10,-10,2.0476190476190474,3,1,0,0,21
21,-10.0,-10,-10,2.0476190476190474,3,1,0,0,21
22,-10.0,-10,-10,2.0454545454545454,3,1,0,0,22
22,-10.0,-10,-10,2.0454545454545454,3,1,0,0,22
23,-10.0,-10,-10,2.0434782608695654,3,1,0,0,23
23,-10.0,-10,-10,2.0434782608695654,3,1,0,0,23
24,-10.0,-10,-10,2.0416666666666665,3,1,0,0,24
24,-10.0,-10,-10,2.0416666666666665,3,1,0,0,24
25,-10.0,-10,-10,2.04,3,1,0,0,25
26,-10.0,-10,-10,2.0384615384615383,3,1,0,0,26
26,-10.0,-10,-10,2.0384615384615383,3,1,0,0,26
27,-10.0,-10,-10,2.037037037037037,3,1,0,0,27
27,-10.0,-10,-10,2.037037037037037,3,1,0,0,27
28,-10.0,-10,-10,2.0357142857142856,3,1,0,0,28
28,-10.0,-10,-10,2.0357142857142856,3,1,0,0,28
28,-10.0,-10,-10,2.0357142857142856,3,1,0,0,28
29,-10.0,-10,-10,2.0689655172413794,3,1,0,0,29
29,-10.0,-10,-10,2.0689655172413794,3,1,0,0,29
30,-10.0,-10,-10,2.1,3,1,0,0,30
30,-10.0,-10,-10,2.1,3,1,0,0,30
31,-10.0,-10,-10,2.096774193548387,3,1,0,0,31
31,-10.0,-10,-10,2.096774193548387,3,1,0,0,31
32,-10.0,-10,-10,2.09375,3,1,0,0,32
32,-10.0,-10,-10,2.09375,3,1,0,0,32
33,-10.0,-10,-10,2.090909090909091,3,1,0,0,33
33,-10.0,-10,-10,2.090909090909091,3,1,0,0,33
34,-10.0,-10,-10,2.088235294117647,3,1,0,0,34
35,-10.0,-10,-10,2.085714285714286,3,1,0,0,35
35,-10.0,-10,-10,2.085714285714286,3,1,0,0,35
36,-10.0,-10,-10,2.0833333333333335,3,1,0,0,36
36,-10.0,-10,-10,2.0833333333333335,3,1,0,0,36
37,-10.0,-10,-10,2.081081081081081,3,1,0,0,37
37,-10.0,-10,-10,2.081081081081081,3,1,0,0,37
38,-10.0,-10,-10,2.0789473684210527,3,1,0,0,38
38,-10.0,-10,-10,2.0789473684210527,3,1,0,0,38
39,-10.0,-10,-10,2.076923076923077,3,1,0,0,39
40,-10.0,-10,-10,2.075,3,1,0,0,40
40,-10.0,-10,-10,2.075,3,1,0,0,40
41,-10.0,-10,-10,2.073170731707317,3,1,0,0,41
41,-10.0,-10,-10,2.073170731707317,3,1,0,0,41
42,-10.0,-10,-10,2.0714285714285716,3,1,0,0,42
42,-10.0,-10,-10,2.0714285714285716,3,1,0,0,42
43,-10.0,-10,-10,2.0697674418604652,3,1,0,0,43
43,-10.0,-10,-10,2.0697674418604652,3,1,0,0,43
44,-10.0,-10,-10,2.090909090909091,3,1,0,0,44
44,-10.0,-10,-10,2.090909090909091,3,1,0,0,44
44,-10.0,-10,-10,2.090909090909091,3,1,0,0,44
45,-10.0,-10,-10,2.111111111111111,3,1,0,0,45
45,-10.0,-10,-10,2.111111111111111,3,1,0,0,45
46,-10.0,-10,-10,2.108695652173913,3,1,0,0,46
46,-10.0,-10,-10,2.108695652173913,3,1,0,0,46
47,-10.0,-10,-10,2.106382978723404,3,1,0,0,47
47,-10.0,-10,-10,2.106382978723404,3,1,0,0,47
48,-10.0,-10,-10,2.1041666666666665,3,1,0,0,48
49,-10.0,-10,-10,2.1020408163265305,3,1,0,0,49
49,-10.0,-10,-10,2.1020408163265305,3,1,0,0,49
50,-10.0,-10,-10,2.1,3,1,0,0,50
